customer_id,total_purchase_count,total_purchase_value,total_return_count,total_return_value,avg_return_days,return_ratio,damage_ratio,anomaly_score,risk_score,risk_level
CUST_0001,38,691567.08,23,293562.81,4.869565217391305,0.6052631578947368,0.4244892773091513,0.06385265848241162,34.96984135216846,Low
CUST_0002,29,841804.9199999999,25,370824.51,1.56,0.8620689655172413,0.440511217254468,0.4402049186558614,61.32605764998947,Moderate
CUST_0003,35,733347.64,30,591128.5,1.4666666666666666,0.8571428571428571,0.8060685925163678,0.14221517792238692,53.57894036024251,Moderate
CUST_0004,17,605475.6499999999,5,36311.96,11.4,0.29411764705882354,0.05997261822172371,0.27921396244516405,25.59729566872021,Low
CUST_0005,23,672163.28,5,23630.38,15.0,0.21739130434782608,0.035155713950931686,0.2725321167155642,20.57028500040536,Low
CUST_0006,36,757579.62,5,45436.19,9.8,0.1388888888888889,0.05997546502108914,0.3970271726898128,27.458199643474696,Low
CUST_0007,12,204927.66999999998,9,101792.04,5.0,0.75,0.49672179457268995,0.15861198083610495,43.01475708335162,Moderate
CUST_0008,30,1057553.76,26,841091.37,1.5769230769230769,0.8666666666666667,0.7953178380265037,0.27166868872792405,57.14493603968829,Moderate
CUST_0009,13,277997.25,2,17080.27,19.5,0.15384615384615385,0.061440427917902066,0.5317319646788201,28.538496535879776,Low
CUST_0010,19,328694.42,4,64944.74,15.75,0.21052631578947367,0.19758394438214072,0.1978238815652551,17.911072008994726,Low
CUST_0011,30,809488.57,28,726263.37,1.3214285714285714,0.9333333333333333,0.8971879244693968,0.30206525413916296,65.48814901428965,Moderate
CUST_0012,24,1069901.94,24,936425.93,1.3333333333333333,1.0,0.8752446322323708,0.4620735131103014,74.06575441228726,High
CUST_0013,28,984228.62,25,757673.16,1.6,0.8928571428571429,0.7698141921538515,0.2929919070109541,58.124206308460025,Moderate
CUST_0014,11,318329.4,8,97063.09,6.375,0.7272727272727273,0.30491399789023566,0.2506941920915038,38.92219680483821,Low
CUST_0015,18,284521.49,17,237937.03,1.588235294117647,0.9444444444444444,0.8362708560256732,0.23471989570232987,57.60621497797269,Moderate
CUST_0016,24,710776.78,8,58156.58,18.625,0.3333333333333333,0.08182115909864135,0.4370082937498566,29.06691814306329,Low
CUST_0017,35,1397691.6,28,643568.78,1.5,0.8,0.4604512039708903,0.452312453606175,62.07857245198678,Moderate
CUST_0018,15,341005.77999999997,5,46779.39,13.6,0.3333333333333333,0.13718063664492727,0.18559053003460335,21.796713551339757,Low
CUST_0019,13,235907.49,2,2846.9800000000005,15.0,0.15384615384615385,0.012068205210440755,0.45011251362304694,26.741899011295374,Low
CUST_0020,17,310144.33999999997,15,254295.71000000002,1.4666666666666666,0.8823529411764706,0.8199269733569862,0.17762048217502535,55.94101496085777,Moderate
CUST_0021,33,812228.45,11,153799.88,14.818181818181818,0.3333333333333333,0.18935544550304784,0.18017173886735005,21.01461603739456,Low
CUST_0022,11,180611.16,8,124816.5,1.5,0.7272727272727273,0.691078557936287,0.3714392881951252,58.927371729961685,Moderate
CUST_0023,13,192336.99,10,121243.41,7.0,0.7692307692307693,0.6303696964374872,0.3432667821162101,46.72147139037356,Moderate
CUST_0024,38,1778935.96,31,1407885.76,1.5806451612903225,0.8157894736842105,0.7914201475808045,0.7231397768937797,76.0802282781334,High
CUST_0025,34,1438279.37,22,627877.78,4.954545454545454,0.6470588235294118,0.43654785926603396,0.2609053472703041,44.71268980805932,Moderate
CUST_0026,31,807470.9,28,639464.67,1.5357142857142858,0.9032258064516129,0.7919352511650884,0.12473772399409677,52.34319525267557,Moderate
CUST_0027,30,752341.44,20,458464.53,5.5,0.6666666666666666,0.609383593172802,0.07871182321990111,36.15253464329024,Low
CUST_0028,21,822170.97,21,712474.2000000001,1.5714285714285714,1.0,0.8665766926798694,0.3131501738343887,63.167524749346185,Moderate
CUST_0029,32,568870.88,26,392407.81,1.5769230769230769,0.8125,0.689801190034547,0.2108751764239557,51.999894839423476,Moderate
CUST_0030,12,523089.12,8,316323.56999999995,6.75,0.6666666666666666,0.6047221360673684,0.16497043011132195,35.99755738234984,Low
CUST_0031,35,800223.99,21,399887.25,6.523809523809524,0.6,0.4997191473852215,0.17162555224594866,33.840341324919905,Low
CUST_0032,37,628012.36,22,272881.54,5.7272727272727275,0.5945945945945946,0.43451619328001756,0.028687626412658984,29.310969986234696,Low
CUST_0033,10,364145.58,9,313393.93,1.4444444444444444,0.9,0.8606281311996152,0.14804711372930646,55.908401429814944,Moderate
CUST_0034,24,810548.77,17,560953.38,4.529411764705882,0.7083333333333334,0.6920661664812593,0.282457334540288,50.69957505245889,Moderate
CUST_0035,14,347657.45,8,145333.78,5.75,0.5714285714285714,0.4180372950443029,0.058195685765958904,29.744893095625464,Low
CUST_0036,22,320336.38,16,213149.47,6.1875,0.7272727272727273,0.6653926413228495,0.15909956440203543,38.97522499313827,Low
CUST_0037,32,711575.76,17,263131.0,5.411764705882353,0.53125,0.3697863457293711,0.09415112285225713,31.575913985645283,Low
CUST_0038,21,672080.42,16,225623.17,5.4375,0.7619047619047619,0.33570858975477963,0.20186432967403478,41.74859978049841,Moderate
CUST_0039,33,700058.04,3,57342.82,13.333333333333334,0.09090909090909091,0.08191152265032196,0.3516751226774397,22.93722301971528,Low
CUST_0040,27,1842915.1400000001,25,1656067.6700000002,1.44,0.9259259259259259,0.8986130907796438,0.7287393693464208,83.17755067653353,High
CUST_0041,21,542112.76,18,445901.28,1.5555555555555556,0.8571428571428571,0.8225249669459911,0.13400235802701632,51.39392720924707,Moderate
CUST_0042,17,240606.49,6,57089.86,16.166666666666668,0.35294117647058826,0.23727481332693895,0.2835550877032832,25.276256491681835,Low
CUST_0043,24,488698.59,21,389202.12,1.5238095238095237,0.875,0.7964052443859106,0.1302631055276534,52.32089219260351,Moderate
CUST_0044,10,127608.26,10,114718.20999999999,1.4,1.0,0.898987338280453,0.4584264818768785,73.53906506726406,High
CUST_0045,27,434080.9,8,38956.75,17.75,0.2962962962962963,0.0897453677413588,0.3412673070963538,24.111889904156918,Low
